effect_id,module_id,module_name,action_id,action_label,actor,source_screen,api_or_worker,preconditions,validation,server_effect,records_created,records_updated,audit_event,downstream_effect,ui_result,error_states,guardrails,high_risk,journey_test_id
FX-001,company_dashboard,Company Dashboard,view_dashboard,View operations dashboard,Authorized Staff,Company Dashboard - View operations dashboard,GET /api/staff/company-dashboard,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",safe summary widgets update,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.view_dashboard,dashboard/task/job/notification/portal state updates where applicable,dashboard loads counts and alerts,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-001
FX-002,company_dashboard,Company Dashboard,drilldown_widget,Open widget drilldown,Authorized Staff,Company Dashboard - Open widget drilldown,GET source module route,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",source module permission rechecked,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.drilldown_widget,dashboard/task/job/notification/portal state updates where applicable,module list/detail opens,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-002
FX-003,company_dashboard,Company Dashboard,dismiss_alert,Dismiss dashboard alert,Authorized Staff,Company Dashboard - Dismiss dashboard alert,POST /alerts/{id}/dismiss,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",user alert dismissal created,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.dismiss_alert,dashboard/task/job/notification/portal state updates where applicable,alert hidden for actor only,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-003
FX-004,company_dashboard,Company Dashboard,acknowledge_incident_alert,Acknowledge critical alert,Authorized Staff,Company Dashboard - Acknowledge critical alert,POST /alerts/{id}/acknowledge,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",task/incident acknowledgement recorded,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.acknowledge_incident_alert,dashboard/task/job/notification/portal state updates where applicable,alert shows acknowledged,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-004
FX-005,staff_users,Staff Users,invite_staff,Invite staff user,Authorized Staff,Staff Users - Invite staff user,POST /staff-users/invitations,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",invitation created and notification queued,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.invite_staff,dashboard/task/job/notification/portal state updates where applicable,pending invite visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-005
FX-006,staff_users,Staff Users,accept_invite,Accept staff invite,Authorized Staff,Staff Users - Accept staff invite,POST /invite/accept,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",staff activated and invite consumed,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.accept_invite,dashboard/task/job/notification/portal state updates where applicable,staff can access allowed routes,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-006
FX-007,staff_users,Staff Users,disable_staff,Disable staff user,Authorized Staff,Staff Users - Disable staff user,POST /staff-users/{id}/disable,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",staff disabled and sessions revoked,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.disable_staff,dashboard/task/job/notification/portal state updates where applicable,access blocked,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-007
FX-008,staff_users,Staff Users,revoke_sessions,Revoke staff sessions,Authorized Staff,Staff Users - Revoke staff sessions,POST /staff-users/{id}/revoke-sessions,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",sessions invalidated,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.revoke_sessions,dashboard/task/job/notification/portal state updates where applicable,user must login again,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-008
FX-009,roles_permissions,Roles & Permissions,request_role_change,Request role/scope change,Authorized Staff,Roles & Permissions - Request role/scope change,POST /roles-permissions/change-requests,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",approval request created,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.request_role_change,dashboard/task/job/notification/portal state updates where applicable,appears in approval queue,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-009
FX-010,roles_permissions,Roles & Permissions,approve_role_change,Approve role/scope change,Authorized Staff,Roles & Permissions - Approve role/scope change,POST /change-requests/{id}/approve,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",role/scope updated,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.approve_role_change,dashboard/task/job/notification/portal state updates where applicable,permissions change after refresh,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-010
FX-011,roles_permissions,Roles & Permissions,reject_role_change,Reject role/scope change,Authorized Staff,Roles & Permissions - Reject role/scope change,POST /change-requests/{id}/reject,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",request rejected no role mutation,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.reject_role_change,dashboard/task/job/notification/portal state updates where applicable,rejected state visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-011
FX-012,roles_permissions,Roles & Permissions,run_access_review,Run access review,Authorized Staff,Roles & Permissions - Run access review,POST /access-review/run,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",review snapshot and findings created,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.run_access_review,dashboard/task/job/notification/portal state updates where applicable,findings/tasks visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-012
FX-013,school_crm,School CRM,create_lead,Create school lead,Authorized Staff,School CRM - Create school lead,POST /school-crm/leads,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",lead created stage=new_lead,as defined by module action and effect chain,source entity status/data plus downstream records,school_crm.create_lead,dashboard/task/job/notification/portal state updates where applicable,lead appears in CRM,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-013
FX-014,school_crm,School CRM,move_stage,Move lead stage,Authorized Staff,School CRM - Move lead stage,POST /leads/{id}/stage,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",lead stage changed and follow-up task maybe created,as defined by module action and effect chain,source entity status/data plus downstream records,school_crm.move_stage,dashboard/task/job/notification/portal state updates where applicable,pipeline/list updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-014
FX-015,school_crm,School CRM,convert_to_onboarding,Convert lead to onboarding,Authorized Staff,School CRM - Convert lead to onboarding,POST /leads/{id}/convert,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard","school created/linked, onboarding case and task created",as defined by module action and effect chain,source entity status/data plus downstream records,school_crm.convert_to_onboarding,dashboard/task/job/notification/portal state updates where applicable,school appears in onboarding queue,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-015
FX-016,school_crm,School CRM,mark_lost,Mark lead lost,Authorized Staff,School CRM - Mark lead lost,POST /leads/{id}/lost,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",lead stage=lost with reason,as defined by module action and effect chain,source entity status/data plus downstream records,school_crm.mark_lost,dashboard/task/job/notification/portal state updates where applicable,lost filter updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-016
FX-017,school_onboarding_ops,School Onboarding Ops,open_case,Open onboarding case,Authorized Staff,School Onboarding Ops - Open onboarding case,GET /school-onboarding-ops/{id},"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",no mutation; checklist loaded,as defined by module action and effect chain,source entity status/data plus downstream records,school_onboarding_ops.open_case,dashboard/task/job/notification/portal state updates where applicable,case detail visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-017
FX-018,school_onboarding_ops,School Onboarding Ops,request_info,Request more information,Authorized Staff,School Onboarding Ops - Request more information,POST /{id}/request-info,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",case needs_more_info and school notification queued,as defined by module action and effect chain,source entity status/data plus downstream records,school_onboarding_ops.request_info,dashboard/task/job/notification/portal state updates where applicable,school sees missing fields,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-018
FX-019,school_onboarding_ops,School Onboarding Ops,approve_school,Approve school,Authorized Staff,School Onboarding Ops - Approve school,POST /{id}/approve,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",case approved and school approved,as defined by module action and effect chain,source entity status/data plus downstream records,school_onboarding_ops.approve_school,dashboard/task/job/notification/portal state updates where applicable,activation task visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-019
FX-020,school_onboarding_ops,School Onboarding Ops,activate_school,Activate school,Authorized Staff,School Onboarding Ops - Activate school,POST /{id}/activate,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",school active and portal enabled,as defined by module action and effect chain,source entity status/data plus downstream records,school_onboarding_ops.activate_school,dashboard/task/job/notification/portal state updates where applicable,school can login/upload roster,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-020
FX-021,student_roster_ops,Student Roster Ops,upload_roster,Upload roster,Authorized Staff,Student Roster Ops - Upload roster,POST /student-roster-ops/imports,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",batch created and validation job queued,as defined by module action and effect chain,source entity status/data plus downstream records,student_roster_ops.upload_roster,dashboard/task/job/notification/portal state updates where applicable,batch validating,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-021
FX-022,student_roster_ops,Student Roster Ops,validate_roster,Validate roster,System Worker,Student Roster Ops - Validate roster,worker:roster.validate,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",errors produced or batch validated,as defined by module action and effect chain,source entity status/data plus downstream records,student_roster_ops.validate_roster,dashboard/task/job/notification/portal state updates where applicable,validation summary visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-022
FX-023,student_roster_ops,Student Roster Ops,lock_roster,Lock roster and generate candidates,Authorized Staff,Student Roster Ops - Lock roster and generate candidates,POST /{id}/lock,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",batch locked and candidate IDs generated,as defined by module action and effect chain,source entity status/data plus downstream records,student_roster_ops.lock_roster,dashboard/task/job/notification/portal state updates where applicable,candidate IDs visible to authorized roles,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-023
FX-024,student_roster_ops,Student Roster Ops,request_correction,Request correction,School Coordinator,Student Roster Ops - Request correction,POST /school/students/{id}/correction-request,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",correction request and task created,as defined by module action and effect chain,source entity status/data plus downstream records,student_roster_ops.request_correction,dashboard/task/job/notification/portal state updates where applicable,request pending visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-024
FX-025,finance_ops,Finance Ops,generate_invoice,Generate invoice,Authorized Staff,Finance Ops - Generate invoice,POST /finance-ops/invoices,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",server-calculated invoice created,as defined by module action and effect chain,source entity status/data plus downstream records,finance_ops.generate_invoice,dashboard/task/job/notification/portal state updates where applicable,invoice visible to school,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-025
FX-026,finance_ops,Finance Ops,create_payment_link,Create payment link,Authorized Staff,Finance Ops - Create payment link,POST /invoices/{id}/payment-link,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",payment link created and notification queued,as defined by module action and effect chain,source entity status/data plus downstream records,finance_ops.create_payment_link,dashboard/task/job/notification/portal state updates where applicable,pay button visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-026
FX-027,finance_ops,Finance Ops,confirm_manual_payment,Confirm manual payment,Authorized Staff,Finance Ops - Confirm manual payment,POST /invoices/{id}/confirm-manual-payment,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",payment marked paid after approval and finance gate opens,as defined by module action and effect chain,source entity status/data plus downstream records,finance_ops.confirm_manual_payment,dashboard/task/job/notification/portal state updates where applicable,downstream gates unlock,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-027
FX-028,finance_ops,Finance Ops,refund_payment,Refund/reverse payment,Authorized Staff,Finance Ops - Refund/reverse payment,POST /payments/{id}/refund,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",refund request and payment state version created,as defined by module action and effect chain,source entity status/data plus downstream records,finance_ops.refund_payment,dashboard/task/job/notification/portal state updates where applicable,refund state visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-028
FX-029,exam_slot_ops,Exam Slot Ops,create_slot,Create exam slot,Authorized Staff,Exam Slot Ops - Create exam slot,POST /exam-slot-ops/slots,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",slot created with capacity/timezone,as defined by module action and effect chain,source entity status/data plus downstream records,exam_slot_ops.create_slot,dashboard/task/job/notification/portal state updates where applicable,slot visible in schedule,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-029
FX-030,exam_slot_ops,Exam Slot Ops,assign_school,Assign school to slot,Authorized Staff,Exam Slot Ops - Assign school to slot,POST /slots/{id}/assign-school,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",assignment created capacity reduced,as defined by module action and effect chain,source entity status/data plus downstream records,exam_slot_ops.assign_school,dashboard/task/job/notification/portal state updates where applicable,school sees assigned slot,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-030
FX-031,exam_slot_ops,Exam Slot Ops,confirm_slot,School confirms slot,School Coordinator,Exam Slot Ops - School confirms slot,POST /school/exam-slots/{id}/confirm,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",assignment confirmed,as defined by module action and effect chain,source entity status/data plus downstream records,exam_slot_ops.confirm_slot,dashboard/task/job/notification/portal state updates where applicable,staff and school see confirmation,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-031
FX-032,exam_slot_ops,Exam Slot Ops,reschedule_slot,Reschedule slot,Authorized Staff,Exam Slot Ops - Reschedule slot,POST /slots/{id}/reschedule,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",slot version/approval created and schools notified,as defined by module action and effect chain,source entity status/data plus downstream records,exam_slot_ops.reschedule_slot,dashboard/task/job/notification/portal state updates where applicable,new slot visible after approval,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-032
FX-033,exam_material_ops,Exam Material Ops,generate_package,Generate material package,Authorized Staff,Exam Material Ops - Generate material package,POST /exam-material-ops/packages,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",package draft and worker job created,as defined by module action and effect chain,source entity status/data plus downstream records,exam_material_ops.generate_package,dashboard/task/job/notification/portal state updates where applicable,package generating/generated,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-033
FX-034,exam_material_ops,Exam Material Ops,approve_release,Approve material release,Authorized Staff,Exam Material Ops - Approve material release,POST /packages/{id}/approve-release,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",release approval and window scheduled,as defined by module action and effect chain,source entity status/data plus downstream records,exam_material_ops.approve_release,dashboard/task/job/notification/portal state updates where applicable,package approved_for_release,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-034
FX-035,exam_material_ops,Exam Material Ops,download_material,School downloads material,School Coordinator,Exam Material Ops - School downloads material,POST /school/materials/{id}/download-url,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",short signed URL and download audit created,as defined by module action and effect chain,source entity status/data plus downstream records,exam_material_ops.download_material,dashboard/task/job/notification/portal state updates where applicable,download starts,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-035
FX-036,exam_material_ops,Exam Material Ops,revoke_replace,Revoke or replace material,Authorized Staff,Exam Material Ops - Revoke or replace material,POST /packages/{id}/revoke,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",package revoked and replacement version maybe created,as defined by module action and effect chain,source entity status/data plus downstream records,exam_material_ops.revoke_replace,dashboard/task/job/notification/portal state updates where applicable,old downloads blocked,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-036
FX-037,courier_ops,Courier Ops,create_dispatch,Create dispatch,Authorized Staff,Courier Ops - Create dispatch,POST /courier-ops/dispatches,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",dispatch record created,as defined by module action and effect chain,source entity status/data plus downstream records,courier_ops.create_dispatch,dashboard/task/job/notification/portal state updates where applicable,dispatch visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-037
