screen_id,module_id,module_name,screen_kind,route,title,description,required_data,required_states,required_components,must_not_show
SCR-001,company_dashboard,Company Dashboard,dashboard,/staff/dashboard,Company Dashboard,Command center with safe summary widgets,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-002,company_dashboard,Company Dashboard,alerts,/staff/dashboard/alerts,Dashboard Alerts,Alert and incident summary panel,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-003,staff_users,Staff Users,list,/staff/staff-users,Staff Users List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-004,staff_users,Staff Users,detail,/staff/staff-users/[id],Staff Users Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-005,staff_users,Staff Users,action,/staff/staff-users/[id]/actions/[action],Staff Users Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-006,roles_permissions,Roles & Permissions,list,/staff/roles-permissions,Roles & Permissions List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-007,roles_permissions,Roles & Permissions,detail,/staff/roles-permissions/[id],Roles & Permissions Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-008,roles_permissions,Roles & Permissions,action,/staff/roles-permissions/[id]/actions/[action],Roles & Permissions Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-009,school_crm,School CRM,list,/staff/school-crm,School CRM List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-010,school_crm,School CRM,detail,/staff/school-crm/[id],School CRM Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-011,school_crm,School CRM,action,/staff/school-crm/[id]/actions/[action],School CRM Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-012,school_crm,School CRM,pipeline,/staff/school-crm/pipeline,School CRM Pipeline,Stage/kanban pipeline,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-013,school_onboarding_ops,School Onboarding Ops,list,/staff/school-onboarding-ops,School Onboarding Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-014,school_onboarding_ops,School Onboarding Ops,detail,/staff/school-onboarding-ops/[id],School Onboarding Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-015,school_onboarding_ops,School Onboarding Ops,action,/staff/school-onboarding-ops/[id]/actions/[action],School Onboarding Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-016,student_roster_ops,Student Roster Ops,list,/staff/student-roster-ops,Student Roster Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-017,student_roster_ops,Student Roster Ops,detail,/staff/student-roster-ops/[id],Student Roster Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-018,student_roster_ops,Student Roster Ops,action,/staff/student-roster-ops/[id]/actions/[action],Student Roster Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-019,finance_ops,Finance Ops,list,/staff/finance-ops,Finance Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-020,finance_ops,Finance Ops,detail,/staff/finance-ops/[id],Finance Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-021,finance_ops,Finance Ops,action,/staff/finance-ops/[id]/actions/[action],Finance Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-022,exam_slot_ops,Exam Slot Ops,list,/staff/exam-slot-ops,Exam Slot Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-023,exam_slot_ops,Exam Slot Ops,detail,/staff/exam-slot-ops/[id],Exam Slot Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-024,exam_slot_ops,Exam Slot Ops,action,/staff/exam-slot-ops/[id]/actions/[action],Exam Slot Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-025,exam_material_ops,Exam Material Ops,list,/staff/exam-material-ops,Exam Material Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-026,exam_material_ops,Exam Material Ops,detail,/staff/exam-material-ops/[id],Exam Material Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-027,exam_material_ops,Exam Material Ops,action,/staff/exam-material-ops/[id]/actions/[action],Exam Material Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-028,courier_ops,Courier Ops,list,/staff/courier-ops,Courier Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-029,courier_ops,Courier Ops,detail,/staff/courier-ops/[id],Courier Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-030,courier_ops,Courier Ops,action,/staff/courier-ops/[id]/actions/[action],Courier Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-031,evaluation_ops,Evaluation Ops,list,/staff/evaluation-ops,Evaluation Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-032,evaluation_ops,Evaluation Ops,detail,/staff/evaluation-ops/[id],Evaluation Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-033,evaluation_ops,Evaluation Ops,action,/staff/evaluation-ops/[id]/actions/[action],Evaluation Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-034,results_ops,Results Ops,list,/staff/results-ops,Results Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-035,results_ops,Results Ops,detail,/staff/results-ops/[id],Results Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-036,results_ops,Results Ops,action,/staff/results-ops/[id]/actions/[action],Results Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-037,certificate_ops,Certificate Ops,list,/staff/certificate-ops,Certificate Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-038,certificate_ops,Certificate Ops,detail,/staff/certificate-ops/[id],Certificate Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-039,certificate_ops,Certificate Ops,action,/staff/certificate-ops/[id]/actions/[action],Certificate Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-040,notification_ops,Notification Ops,list,/staff/notification-ops,Notification Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-041,notification_ops,Notification Ops,detail,/staff/notification-ops/[id],Notification Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-042,notification_ops,Notification Ops,action,/staff/notification-ops/[id]/actions/[action],Notification Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-043,support_tickets,Support Tickets,list,/staff/support-tickets,Support Tickets List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-044,support_tickets,Support Tickets,detail,/staff/support-tickets/[id],Support Tickets Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-045,support_tickets,Support Tickets,action,/staff/support-tickets/[id]/actions/[action],Support Tickets Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-046,task_work_queue,Task Work Queue,list,/staff/task-work-queue,Task Work Queue List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-047,task_work_queue,Task Work Queue,detail,/staff/task-work-queue/[id],Task Work Queue Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-048,task_work_queue,Task Work Queue,action,/staff/task-work-queue/[id]/actions/[action],Task Work Queue Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-049,reports_exports,Reports & Exports,list,/staff/reports-exports,Reports & Exports List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-050,reports_exports,Reports & Exports,detail,/staff/reports-exports/[id],Reports & Exports Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-051,reports_exports,Reports & Exports,action,/staff/reports-exports/[id]/actions/[action],Reports & Exports Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-052,reports_exports,Reports & Exports,catalog,/staff/reports-exports/catalog,Report Catalog,Safe reports and export request entry,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-053,admin_settings,Admin Settings,list,/staff/admin-settings,Admin Settings List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-054,admin_settings,Admin Settings,detail,/staff/admin-settings/[id],Admin Settings Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-055,admin_settings,Admin Settings,action,/staff/admin-settings/[id]/actions/[action],Admin Settings Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-056,security_audit_console,Security & Audit Console,list,/staff/security-audit-console,Security & Audit Console List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-057,security_audit_console,Security & Audit Console,detail,/staff/security-audit-console/[id],Security & Audit Console Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-058,security_audit_console,Security & Audit Console,action,/staff/security-audit-console/[id]/actions/[action],Security & Audit Console Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-059,security_audit_console,Security & Audit Console,incidents,/staff/security-audit-console/incidents,Security Incidents,Incident workspace,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
